id;account_id;cust_id;reln_id;reln_type;oper_inst;is_acct_nbr;bnd_acct_nbr;closing_id;sub_segment;branch_code;acct_status;ctry_code;acct_owners;remarks;created_by;created_ts;updated_by;updated_ts;record_status;upload_remark
1;nor;ha year;amber whoa or;quadr;deeply whe;lob ugh might;broken kaleidoscopic secure;quirkily;mindless j;phew twin;if shy;lum;that;iridescence;regroup;2024-07-22T14:26:34;round;2024-07-22T03:16:10;over;mob
2;why;shinny defiant;zowie adventurously;fairl;undertake ;which for;huzzah;for lest i;er fortuna;acoustics ;enliven gr;nea;prophesy;rotating reacquaint;inside w;2024-07-22T02:22:52;fooey te;2024-07-22T08:22:12;helpfully ;absent carefully wisely
3;throughout yum pirouette;after;what;filte;incidental;vague;spelling minus;truly;mainland m;apropos ee;fooey;eve;as choker blue;boohoo;past amo;2024-07-21T19:12:15;absolute;2024-07-21T22:07:04;anti breat;why compensation creak
4;acclimatize wire;replenish;brief;somet;plus;finally;broken;zealous th;meh save m;till worth;vibrant in;sec;choker um;alert briefly;seemingl;2024-07-22T17:14:08;abdicate;2024-07-22T12:56:11;think tack;geez supposing
5;truly;cheerfully furthermore worth;lightly bleakly;likew;oof;forenenst sweat ick;in;puzzling;liver runn;consequent;on shrill ;nor;whether;replacement before pendant;ew;2024-07-22T04:02:25;obedient;2024-07-22T12:06:16;overnighte;why although from
6;to yum overprint;kindly like;hence sleepy tempting;tomor;plus plus;majestically yet calcify;supposing;knuckle;yum strap;who oof su;unlike;kno;corridor pfft glorious;dear;pro;2024-07-22T14:26:39;because ;2024-07-22T13:04:13;facelift p;wheel trillion off-ramp
7;which pro ouch;less worth;supplement preregister;who s;insignific;officially;even fantastic inure;pucker bla;exeunt;wiggly yip;diligently;off;yet big;textual likewise break;incident;2024-07-22T03:52:05;burly or;2024-07-21T21:24:15;riding sca;amend grab-bag including
8;lest to drat;tidy stopsign shimmy;so consequently perfectly;blah;meek provi;snitch adventurous even;editing;while nor ;offensivel;so dead pr;coexist;pff;communicant extremely;carefully;direct a;2024-07-22T14:40:47;skeletal;2024-07-22T01:27:08;whether wo;boo considering rarely
9;soup whine vest;phooey beside within;bleed unfortunately welcome;nor w;past of in;blah;even absent;ugh;unruly ick;hungry wis;muted dera;bul;psst immediately;hmph infect;remould ;2024-07-22T02:19:29;dugout;2024-07-22T13:03:20;though cru;confuse to
10;alongside er into;enlarge how forenenst;from;jagge;yum;midst and ah;the overburden gah;whoever zo;disprove r;ah squeaky;harrow;how;lobby gee amongst;luminous pfft;since ho;2024-07-22T04:36:23;meanwhil;2024-07-22T15:36:33;swill;cradle
